SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,AvgMonthlyCharge,IsNewCustomer,Contract_Monthly,HasFiber,IsHighCharge,Monthly_Tenure_Ratio,Total_Monthly_Ratio,TotalServices,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,1,0,1,0,-1,0,1,0,0,0,0,1,29.85,29.85,14.925,1,1,0,0,14.925,0.9675850891410048,2,1,0,0,1,0,0,0,0,1,0
0,0,0,34,1,0,1,0,1,0,0,0,0,56.95,1889.5,53.98571428571429,0,0,0,0,1.6271428571428572,32.60569456427955,4,1,0,0,0,1,0,0,0,0,1
0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,36.050000000000004,1,1,0,0,17.95,1.9717411121239745,4,1,0,0,1,0,0,0,0,0,1
0,0,0,45,0,-1,1,0,1,1,0,0,0,42.3,1840.75,40.016304347826086,0,0,0,0,0.9195652173913043,42.51154734411086,4,1,0,0,0,1,0,1,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0,1,70.7,151.65,50.550000000000004,1,1,1,0,23.566666666666666,2.1150627615062763,2,0,1,0,1,0,0,0,0,1,0
0,0,0,8,1,1,0,0,1,0,1,1,1,99.65,820.5,91.16666666666667,0,1,1,1,11.072222222222223,8.152011922503725,5,0,1,0,1,0,0,0,0,1,0
0,0,1,22,1,1,0,1,0,0,1,0,1,89.1,1949.4,84.75652173913043,0,1,1,1,3.8739130434782605,21.63596004439512,4,0,1,0,1,0,0,0,1,0,0
0,0,0,10,0,-1,1,0,0,0,0,0,0,29.75,301.9,27.44545454545454,0,1,0,0,2.7045454545454546,9.817886178861787,2,1,0,0,1,0,0,0,0,0,1
0,1,0,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,105.03620689655173,0,1,1,1,3.613793103448276,28.790642722117205,6,0,1,0,1,0,0,0,0,1,0
0,0,1,62,1,0,1,1,0,0,0,0,0,56.15,3487.95,55.364285714285714,0,0,0,0,0.8912698412698412,61.031496062992126,4,1,0,0,0,1,0,1,0,0,0
0,1,1,13,1,0,1,0,0,0,0,0,1,49.95,587.45,41.96071428571429,0,1,0,0,3.567857142857143,11.529931305201178,3,1,0,0,1,0,0,0,0,0,1
0,0,0,16,1,0,-1,-1,-1,-1,-1,-1,0,18.95,326.8,19.223529411764705,0,0,0,0,1.1147058823529412,16.380952380952383,1,0,0,1,0,0,1,0,1,0,0
0,1,0,58,1,1,0,0,1,0,1,1,0,100.35,5681.1,96.28983050847458,0,0,1,1,1.7008474576271186,56.05426739023188,5,0,1,0,0,1,0,0,1,0,0
0,0,0,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,100.726,0,1,1,1,2.074,48.102196752626554,6,0,1,0,1,0,0,1,0,0,0
0,0,0,25,1,0,1,0,1,1,1,1,1,105.5,2686.05,103.3096153846154,0,1,1,1,4.0576923076923075,25.221126760563383,7,0,1,0,1,0,0,0,0,1,0
